"time","open","high","low","close","MA1","MA2","MA3"
1591707600,"1,12997","1,13577","1,12967","1,13487","1,1203705","1,129039","1,1284475"
1591711200,"1,13487","1,13565","1,13329","1,13539","1,12053755","1,1292895","1,12952125"
1591714800,"1,13539","1,13637","1,13393","1,13474","1,12070915","1,1295405","1,13052875"
1591718400,"1,13474","1,13541","1,13425","1,13426","1,12088095","1,129784","1,13153875"
1591722000,"1,13426","1,13479","1,13326","1,13456","1,121049","1,130061","1,13252125"
1591725600,"1,13456","1,13483","1,13409","1,13447","1,12121775","1,130311","1,1333075"
1591729200,"1,13447","1,1345","1,13362","1,13366","1,1213826","1,1304735","1,13399"
1591732800,"1,13366","1,13394","1,1331","1,13394","1,1215415","1,1306495","1,13448625"
1591736400,"1,13394","1,13412","1,13344","1,1335","1,1216895","1,130863","1,134315"
1591740000,"1,1335","1,134","1,13349","1,13389","1,12183145","1,131121","1,1341275"
1591743600,"1,13389","1,13411","1,13315","1,13321","1,1219631","1,131345","1,13393625"
1591747200,"1,13321","1,13447","1,13321","1,13395","1,1220918","1,131615","1,1338975"
1591750800,"1,13395","1,1346","1,13381","1,13385","1,12222035","1,13185","1,13380875"
1591754400,"1,13385","1,13448","1,13379","1,13433","1,12234765","1,1322265","1,13379125"
1591758000,"1,13433","1,13459","1,13405","1,13425","1,12248325","1,132605","1,133865"
1591761600,"1,13425","1,1346","1,13409","1,13427","1,1226164","1,1330095","1,13390625"
1591765200,"1,13427","1,13697","1,13418","1,13626","1,12275875","1,1334875","1,13425125"
1591768800,"1,13626","1,13692","1,13504","1,13513","1,12289745","1,133835","1,13440625"
1591772400,"1,13513","1,13622","1,13432","1,13598","1,1230383","1,134224","1,1347525"
1591776000,"1,13598","1,13757","1,13586","1,1369","1,12318455","1,1345705","1,13512125"
1591779600,"1,1369","1,13717","1,13551","1,13591","1,1233206","1,1346225","1,13537875"
1591783200,"1,13591","1,13731","1,13484","1,13653","1,1234592","1,1346795","1,13565375"
1591786800,"1,13653","1,13894","1,13639","1,13858","1,12360725","1,1348715","1,136195"
1591790400,"1,13858","1,1389","1,13639","1,13802","1,12374765","1,1350595","1,13666375"
1591794000,"1,13802","1,13855","1,13598","1,13656","1,12388005","1,1351595","1,13670125"
1591797600,"1,13656","1,13782","1,13451","1,13501","1,12400535","1,1351865","1,13668625"
1591801200,"1,13501","1,13597","1,13421","1,13541","1,1241298","1,135274","1,136615"
1591804800,"1,13541","1,13599","1,13452","1,13513","1,1242469","1,1353335","1,13639375"
1591808400,"1,13513","1,13697","1,13495","1,1368","1,1243645","1,1354985","1,136505"
1591812000,"1,1368","1,14225","1,13208","1,1391","1,12449475","1,135759","1,13682625"
1591815600,"1,1391","1,14156","1,13613","1,13893","1,12462175","1,136045","1,13687"
1591819200,"1,13893","1,13906","1,13646","1,13722","1,124743","1,1362085","1,13677"
1591822800,"1,13722","1,13748","1,13712","1,13744","1,12487045","1,136388","1,13688"
1591826400,"1,13744","1,1381","1,13726","1,13773","1,1249963","1,136558","1,13722"
1591830000,"1,13773","1,13823","1,13639","1,13668","1,1251263","1,1366795","1,13737875"
1591833600,"1,13668","1,13889","1,13659","1,13867","1,12527075","1,1368995","1,13782125"
1591837200,"1,13867","1,13953","1,1382","1,13896","1,12541995","1,1370345","1,13809125"
1591840800,"1,13896","1,13942","1,13855","1,13876","1,125564","1,137216","1,13804875"
1591844400,"1,13876","1,1389","1,13565","1,13573","1,12569295","1,1372035","1,13764875"
1591848000,"1,13573","1,13589","1,13438","1,13511","1,125818","1,137114","1,137385"
1591851600,"1,13511","1,13525","1,13252","1,13437","1,1259336","1,137037","1,13700125"
1591855200,"1,13437","1,13625","1,13399","1,13602","1,12605775","1,1370115","1,1367875"
1591858800,"1,13602","1,1373","1,13433","1,13635","1,1261816","1,1369","1,13674625"
1591862400,"1,13635","1,13909","1,13585","1,13897","1,1263156","1,1369475","1,13678375"
1591866000,"1,13897","1,14017","1,13817","1,13834","1,1264402","1,1370365","1,13670625"
1591869600,"1,13834","1,13854","1,13704","1,13724","1,12655765","1,137148","1,13651625"
1591873200,"1,13724","1,13749","1,13533","1,13557","1,126669","1,137156","1,13649625"
1591876800,"1,13557","1,13586","1,13363","1,13566","1,1267806","1,1371825","1,136565"
1591880400,"1,13566","1,13786","1,13507","1,13778","1,1268996","1,1372315","1,13699125"
1591884000,"1,13778","1,14037","1,1372","1,13811","1,1270216","1,137182","1,1372525"
1591887600,"1,13811","1,13985","1,13624","1,13788","1,1271366","1,1371295","1,13744375"
1591891200,"1,13788","1,13837","1,13615","1,13617","1,1272476","1,137077","1,13709375"
1591894800,"1,13617","1,13617","1,13075","1,13182","1,12734965","1,136796","1,13627875"
1591898400,"1,13182","1,13258","1,12979","1,13009","1,1274471","1,136414","1,135385"
1591902000,"1,13009","1,13143","1,12923","1,12992","1,1275408","1,136076","1,13467875"
1591905600,"1,12992","1,13031","1,12887","1,1299","1,12763535","1,1356375","1,13395875"
1591909200,"1,1299","1,13008","1,12905","1,12914","1,1277183","1,1351465","1,13287875"
1591912800,"1,12914","1,12988","1,1287","1,12988","1,1277991","1,1347025","1,13185"
1591916400,"1,12988","1,13","1,12877","1,12882","1,1278819","1,134357","1,1307175"
1591920000,"1,12882","1,12941","1,12803","1,1283","1,12795845","1,1340165","1,12973375"
1591923600,"1,1283","1,12893","1,12765","1,12882","1,12803785","1,133739","1,12935875"
1591927200,"1,12882","1,12979","1,12855","1,12889","1,1281161","1,1333825","1,12920875"
1591930800,"1,12889","1,12979","1,12874","1,12937","1,12819535","1,1330335","1,12914"
1591934400,"1,12937","1,12979","1,12912","1,12971","1,12827655","1,1325705","1,12911625"
1591938000,"1,12971","1,13137","1,12933","1,13112","1,1283666","1,1322095","1,12936375"
1591941600,"1,13112","1,13161","1,1297","1,13044","1,12845265","1,1318695","1,12943375"
1591945200,"1,13044","1,13218","1,12973","1,13216","1,12855085","1,131699","1,12985125"
1591948800,"1,13216","1,13406","1,132","1,13246","1,12864725","1,131539","1,13037125"
